     2    0.20794E+04    0.61234E-02   -0.11119E+01    0.34760E+06    0.37720E+05
     3    0.18107E+04    0.18409E-01   -0.14801E+01    0.53067E+06    0.44733E+05
     4    0.16262E+04    0.30500E-01   -0.10310E+01    0.68335E+06    0.48110E+05
     5    0.15051E+04    0.37764E-01   -0.22740E+00    0.81380E+06    0.49728E+05
     6    0.14219E+04    0.39296E-01    0.64191E+00    0.92541E+06    0.50384E+05
     7    0.13599E+04    0.36540E-01    0.14259E+01    0.10216E+07    0.50473E+05
     8    0.13107E+04    0.31786E-01    0.20653E+01    0.11051E+07    0.50209E+05
     9    0.12694E+04    0.26883E-01    0.25240E+01    0.11777E+07    0.49729E+05
    10    0.12342E+04    0.22846E-01    0.27935E+01    0.12412E+07    0.49113E+05
    11    0.12036E+04    0.19997E-01    0.28887E+01    0.12969E+07    0.48411E+05
    12    0.11782E+04    0.17649E-01    0.28487E+01    0.13458E+07    0.47647E+05
    13    0.11566E+04    0.15659E-01    0.27094E+01    0.13888E+07    0.46841E+05
    14    0.11379E+04    0.13760E-01    0.25149E+01    0.14266E+07    0.46013E+05
    15    0.11221E+04    0.12012E-01    0.23101E+01    0.14600E+07    0.45178E+05
    16    0.11090E+04    0.10575E-01    0.21303E+01    0.14894E+07    0.44353E+05
    17    0.10984E+04    0.95435E-02    0.19697E+01    0.15154E+07    0.43540E+05
    18    0.10893E+04    0.87613E-02    0.18163E+01    0.15381E+07    0.42739E+05
    19    0.10827E+04    0.79600E-02    0.16662E+01    0.15579E+07    0.41953E+05
    20    0.10773E+04    0.69574E-02    0.15155E+01    0.15749E+07    0.41180E+05
    21    0.10732E+04    0.57597E-02    0.13672E+01    0.15896E+07    0.40421E+05
    22    0.10704E+04    0.45190E-02    0.12253E+01    0.16020E+07    0.39677E+05
    23    0.10686E+04    0.34252E-02    0.10961E+01    0.16127E+07    0.38949E+05
    24    0.10677E+04    0.26114E-02    0.98628E+00    0.16217E+07    0.38237E+05
    25    0.10678E+04    0.21135E-02    0.90117E+00    0.16293E+07    0.37541E+05
    26    0.10687E+04    0.18778E-02    0.84422E+00    0.16357E+07    0.36862E+05
    27    0.10703E+04    0.18283E-02    0.81358E+00    0.16409E+07    0.36198E+05
    28    0.10726E+04    0.19201E-02    0.80731E+00    0.16450E+07    0.35551E+05
    29    0.10756E+04    0.21358E-02    0.82290E+00    0.16479E+07    0.34918E+05
    30    0.10793E+04    0.24728E-02    0.85611E+00    0.16499E+07    0.34301E+05
    31    0.10834E+04    0.29213E-02    0.90278E+00    0.16508E+07    0.33698E+05
    32    0.10880E+04    0.34542E-02    0.95867E+00    0.16509E+07    0.33110E+05
    33    0.10932E+04    0.40318E-02    0.10193E+01    0.16501E+07    0.32536E+05
    34    0.10989E+04    0.46286E-02    0.10815E+01    0.16486E+07    0.31976E+05
    35    0.11051E+04    0.52397E-02    0.11444E+01    0.16463E+07    0.31430E+05
    36    0.11116E+04    0.58792E-02    0.12067E+01    0.16433E+07    0.30897E+05
    37    0.11184E+04    0.65815E-02    0.12684E+01    0.16398E+07    0.30377E+05
    38    0.11256E+04    0.73820E-02    0.13314E+01    0.16356E+07    0.29869E+05
    39    0.11332E+04    0.82701E-02    0.13954E+01    0.16310E+07    0.29375E+05
    40    0.11409E+04    0.92291E-02    0.14593E+01    0.16260E+07    0.28892E+05
    41    0.11489E+04    0.10250E-01    0.15220E+01    0.16206E+07    0.28421E+05
    42    0.11569E+04    0.11333E-01    0.15825E+01    0.16149E+07    0.27962E+05
    43    0.11651E+04    0.12481E-01    0.16398E+01    0.16089E+07    0.27514E+05
    44    0.11732E+04    0.13683E-01    0.16942E+01    0.16028E+07    0.27077E+05
    45    0.11816E+04    0.14951E-01    0.17467E+01    0.15964E+07    0.26651E+05
    46    0.11902E+04    0.16292E-01    0.17960E+01    0.15899E+07    0.26235E+05
    47    0.11990E+04    0.17687E-01    0.18414E+01    0.15832E+07    0.25830E+05
    48    0.12077E+04    0.19116E-01    0.18846E+01    0.15763E+07    0.25433E+05
    49    0.12166E+04    0.20538E-01    0.19271E+01    0.15693E+07    0.25047E+05
    50    0.12257E+04    0.21902E-01    0.19633E+01    0.15622E+07    0.24669E+05
    51    0.12349E+04    0.23166E-01    0.19873E+01    0.15549E+07    0.24300E+05
    52    0.12444E+04    0.24446E-01    0.19967E+01    0.15475E+07    0.23940E+05
    53    0.12538E+04    0.25929E-01    0.19918E+01    0.15399E+07    0.23587E+05
    54    0.12631E+04    0.27647E-01    0.19810E+01    0.15323E+07    0.23243E+05
    55    0.12724E+04    0.29619E-01    0.19726E+01    0.15245E+07    0.22905E+05
    56    0.12821E+04    0.31727E-01    0.19679E+01    0.15166E+07    0.22575E+05
    57    0.12919E+04    0.33840E-01    0.19661E+01    0.15087E+07    0.22252E+05
    58    0.13019E+04    0.35932E-01    0.19642E+01    0.15007E+07    0.21935E+05
    59    0.13120E+04    0.38006E-01    0.19596E+01    0.14926E+07    0.21625E+05
    60    0.13222E+04    0.40077E-01    0.19508E+01    0.14844E+07    0.21320E+05
    61    0.13327E+04    0.42217E-01    0.19371E+01    0.14761E+07    0.21021E+05
    62    0.13429E+04    0.44435E-01    0.19177E+01    0.14679E+07    0.20727E+05
    63    0.13531E+04    0.46727E-01    0.18922E+01    0.14595E+07    0.20437E+05
    64    0.13636E+04    0.49147E-01    0.18595E+01    0.14512E+07    0.20153E+05
    65    0.13739E+04    0.51710E-01    0.18192E+01    0.14428E+07    0.19874E+05
    66    0.13845E+04    0.54383E-01    0.17734E+01    0.14343E+07    0.19599E+05
